#group,false,false,true,true,true,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,location
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T00:00:00.000000000Z,149.35,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T01:00:00.000000000Z,145.51,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T02:00:00.000000000Z,157.54,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T03:00:00.000000000Z,138.52,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T04:00:00.000000000Z,90.33,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T05:00:00.000000000Z,250.14,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T06:00:00.000000000Z,200.52,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T08:00:00.000000000Z,20.30,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T10:00:00.000000000Z,170.67,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T12:00:00.000000000Z,180.52,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T14:00:00.000000000Z,210.52,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T16:00:00.000000000Z,70.52,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T20:00:00.000000000Z,100.52,euros,elec-price,France
,,0,2023-02-28T23:59:00.000000000Z,2023-03-01T23:59:00.000000000Z,2023-03-01T23:00:00.000000000Z,150.52,euros,elec-price,France
